text,label
1. The mattresses were hard.\n2. When we were booking the room there was a promotion from booking.com which didn't apply and we payed 80 euro more. After that I checked a new dates to book and we had similar number and if we do it it will be the same. This is a big fraud.,negative
It was cold for a swim:),negative
Very noisy neighborhood,negative
-No free breakfast option. \n-However when I booked this property in advance it was a higher price but booking.com reduced the price before my travel date and the hotel refused to accept the lower price which I felt was unfair for me as they charged twice for cancellation and rebooking. Maybe this was a booking.com issue or the hotel but I was quite unhappy about this since it was not justified by the owner. I spoke to Ali from booking.com and he said there was no cancellation charge but they charged me☹️\n-They need to put a lock to the bathroom and a shower glass door inside or else it gets messy.\n-wifi is not good,negative
The taxi driver who picked us up for the short drive to the airport ripped us off. Be sure to negotiate the price beforehand. It's your own fault!,negative
Very noisy,negative
"I did not like the behavior of the gentleman in the reservations. I was assured of breakfast in the price of the room. Upon arrival he refused to provide breakfast in an unacceptable manner, and without even speaking the Cypriot language. My dissatisfaction with the choice is great.",negative
Surrounding buildings are under construction and poorly lit.,negative
"Outside was a but noisy later in the evening, but that's not within the hotels control",negative
some of the towels were dirty,negative
The area was a little noisy when we stayed there.,negative
"Taxi drivers who cooperate with hotel, both times, from airport and back, charged 2-3 EUR above the price agreed with the hotel (20 EUR). To clarify, it is not about the money, I would certainly give that money as a tip, but feeling that someone is cheating you and stilling money from you is really awkward and ugly, especially when you are alone with small child in the middle of the night and have no alternative way of transport.",negative
The smell in the bathroom,negative
In the bathroom smelled bad,negative
stingy smell from the bathroom\nquite small room,negative
Some smell from bathroom/water.,negative
the pool is tiny and the bathrooms can smell like bad plumbing.,negative
"The room was a bit cramped, but we could fit. It may have been a unique case, but a rather disturbing odor of sewage came out of the drains. The smell could be felt on the street that day as well.",negative
Slight smell from toilet after night. Pretty far from major tourist spots.,negative
Bed was very soft and uncomfortable for me.\nParking was very limited.,negative
There was some kind of unpleasant smell in the bathroom,negative
The bed and pillows were very uncomfortable and the telly was not working properly,negative
"The location was not great, the pool not even to be considered, the overall hotel installation is badly maintained. It’s in front of a pension and so close that people could see the colour of my underwear. \nThe aircon was too strong so we’d opened the windows, big mistake! Very noisy (I’ve asked quiet room).\nThe lift broke, the guy was offended becawe asked to see the room before paying….\nThe pictures of the room are accurate but fot the hotel installation and pool have a look to ‘Pasithea Apartments’",negative
"The floor is not cleaned enough, full of dust, water does not drain and floods the room",negative
"The main reason for not giving the highest rating is the noise. From the neighboring hotels/houses, they showered at any time of the day and made unpleasant noise. There were problems with the sealing and closing of the window.",negative
The only thing that was slightly flawed was the water in the shower in the evening which was lukewarm,negative
The noise. The rooms are poorly soundproofed. We hear the neighbors moving.,negative
"The environment is a bit unfriendly for walking, there is a lot of construction and the roads are bumpy",negative
"The breakfast offered by an independent service does not correspond quantitatively and qualitatively to the known levels of Cypriot hospitality and gastronomy,\nand the price of €12 for breakfast is much more expensive than the reasonable value (in terms of quality and quantity) of the offered product!",negative
"Very uncomfortable folding bed, the child at night could not fall asleep with it. It is also quite noisy at night - you can hear airplanes and music from nightclubs, but I think this does not apply to the hotel, such a location, but it is close to the airport.",negative
"Noise from a nightclub and not a comfortable cot, my 12 child was very cramped there.",negative
The quality of the television image quite poor.,negative
"The room is not sealed off from the corridor, you can hear everything. Somewhat small and sterile rooms.",negative
garbage truck at 3am making a lot of noise,negative
"I booked a room with one bed, in fact it was 2 separate beds, no one warned about this, it was very uncomfortable for me and my husband to sleep, having moved the mattresses. If I had known from the beginning that there would not be a room with one bed, I would have chosen another hotel. It spoiled the impression.",negative
Beds are soft and with a lot of plastic therefore very sweaty.\nIn the middle of the night the garbage containers were emptied with a lot of noise.,negative
"Mackenzie Beach is very noisy, windy, did not like it, not for a long vacation.",negative
